Material,Material description,Bundle,Khu Vực,Status,Color,Material Description,Size Type,IsValid,Case
C0000002827,TW13WAVY_M VANG,TW13WAVY_M,TE,C5,VANG,,,No,WHEN 'C0000002827' THEN 'TW13WAVY_M'
C0000002828,TW13WAVY_H DUONG,TW13WAVY_H,TE,C5,DUONG,,,No,WHEN 'C0000002828' THEN 'TW13WAVY_H'
C0000002829,TW13WAVY_H LA,TW13WAVY_H,TE,C5,LA,,,No,WHEN 'C0000002829' THEN 'TW13WAVY_H'
C0000002830,TW13WAVY_H HONG,TW13WAVY_H,TE,C5,HONG,,,No,WHEN 'C0000002830' THEN 'TW13WAVY_H'
C0000002831,TW13WAVY_H VANG,TW13WAVY_H,TE,C5,VANG,,,No,WHEN 'C0000002831' THEN 'TW13WAVY_H'
C0000002832,TW13FLAT_S DUONG,TW13FLAT_S,TE,C5,DUONG,,,No,WHEN 'C0000002832' THEN 'TW13FLAT_S'
C0000002833,TW13FLAT_S LA,TW13FLAT_S,TE,C5,LA,,,No,WHEN 'C0000002833' THEN 'TW13FLAT_S'
C0000002834,TW13FLAT_S HONG,TW13FLAT_S,TE,C5,HONG,,,No,WHEN 'C0000002834' THEN 'TW13FLAT_S'
C0000002835,TW13FLAT_S VANG,TW13FLAT_S,TE,C5,VANG,,,No,WHEN 'C0000002835' THEN 'TW13FLAT_S'
C0000002836,TW13FLAT_M DUONG,TW13FLAT_M,TE,C5,DUONG,,,No,WHEN 'C0000002836' THEN 'TW13FLAT_M'
C0000002837,TW13FLAT_M LA,TW13FLAT_M,TE,C5,LA,,,No,WHEN 'C0000002837' THEN 'TW13FLAT_M'
C0000002838,TW13FLAT_M HONG,TW13FLAT_M,TE,C5,HONG,,,No,WHEN 'C0000002838' THEN 'TW13FLAT_M'
C0000002839,TW13FLAT_M VANG,TW13FLAT_M,TE,C5,VANG,,,No,WHEN 'C0000002839' THEN 'TW13FLAT_M'
C0000002841,TWCH_13 DUONG,TWCH_13,IM,C5,DUONG,,,No,WHEN 'C0000002841' THEN 'TWCH_13'
C0000002842,TWCH_13 LA,TWCH_13,IM,C5,LA,,,No,WHEN 'C0000002842' THEN 'TWCH_13'
C0000002843,TWCH_13 HONG,TWCH_13,IM,C5,HONG,,,No,WHEN 'C0000002843' THEN 'TWCH_13'
C0000002844,TWCH_13 VANG,TWCH_13,IM,C5,VANG,,,No,WHEN 'C0000002844' THEN 'TWCH_13'
C0000002886,EC_13 DUONG,EC_13,IM,C5,DUONG,,HDL_EXCL_13_Size,No,WHEN 'C0000002886' THEN 'EC_13'
C0000002887,EC_13 LA,EC_13,IM,C5,LA,,HDL_EXCL_13_Size,No,WHEN 'C0000002887' THEN 'EC_13'
C0000002888,EC_13 CAM,EC_13,IM,C5,CAM,,HDL_EXCL_13_Size,No,WHEN 'C0000002888' THEN 'EC_13'
C0000002889,EC_13 TIM,EC_13,IM,C5,TIM,,HDL_EXCL_13_Size,No,WHEN 'C0000002889' THEN 'EC_13'
C0000002890,EC_13_S DUONG,EC_13_S,TE,C5,DUONG,,,No,WHEN 'C0000002890' THEN 'EC_13_S'
C0000002891,EC_13_S LA,EC_13_S,TE,C5,LA,,,No,WHEN 'C0000002891' THEN 'EC_13_S'
C0000002892,EC_13_S CAM,EC_13_S,TE,C5,CAM,,,No,WHEN 'C0000002892' THEN 'EC_13_S'
C0000002893,EC_13_S TIM,EC_13_S,TE,C5,TIM,,,No,WHEN 'C0000002893' THEN 'EC_13_S'
C0000002894,EC_13_M DUONG,EC_13_M,TE,C5,DUONG,,,No,WHEN 'C0000002894' THEN 'EC_13_M'
C0000002895,EC_13_M LA,EC_13_M,TE,C5,LA,,,No,WHEN 'C0000002895' THEN 'EC_13_M'
C0000002896,EC_13_M CAM,EC_13_M,TE,C5,CAM,,,No,WHEN 'C0000002896' THEN 'EC_13_M'
C0000002897,EC_13_M TIM,EC_13_M,TE,C5,TIM,,,No,WHEN 'C0000002897' THEN 'EC_13_M'
C0000002941,K2+ DO,K2+,IM,C3,DO,Value Age 2+ YH Red Handle,HDL_Kid 2+_Size,Yes,WHEN 'C0000002941' THEN 'K2+'
C0000002942,K2+ DUONG,K2+,IM,C3,DUONG,Value Age 2+ YH Blue Handle,HDL_Kid 2+_Size,Yes,WHEN 'C0000002942' THEN 'K2+'
C0000002943,K2+ LA,K2+,IM,C3,LA,Value Age 2+ YH Green Handle,HDL_Kid 2+_Size,Yes,WHEN 'C0000002943' THEN 'K2+'
C0000002944,K2+ HONG,K2+,IM,C3,HONG,Value Age 2+ 12 YH Pink Handle,HDL_Kid 2+_Size,Yes,WHEN 'C0000002944' THEN 'K2+'
C0000002996,TW_WH_13 HONG,TW_WH_13,IM,C5,HONG,,,No,WHEN 'C0000002996' THEN 'TW_WH_13'
C0000002997,TW_WH_13 LA,TW_WH_13,IM,C5,LA,,,No,WHEN 'C0000002997' THEN 'TW_WH_13'
C0000002998,TW_WH_13 DUONG,TW_WH_13,IM,C5,DUONG,,,No,WHEN 'C0000002998' THEN 'TW_WH_13'
C0000002999,TW_WH_S HONG,TW_WH_S,TE,C5,HONG,,,No,WHEN 'C0000002999' THEN 'TW_WH_S'
C0000003000,TW_WH_S LA,TW_WH_S,TE,C5,LA,,,No,WHEN 'C0000003000' THEN 'TW_WH_S'
C0000003001,TW_WH_S DUONG,TW_WH_S,TE,C5,DUONG,,,No,WHEN 'C0000003001' THEN 'TW_WH_S'
C0000003002,TW_WH_M HONG,TW_WH_M,TE,C5,HONG,,,No,WHEN 'C0000003002' THEN 'TW_WH_M'
C0000003003,TW_WH_M LA,TW_WH_M,TE,C5,LA,,,No,WHEN 'C0000003003' THEN 'TW_WH_M'
C0000003004,TW_WH_M DUONG,TW_WH_M,TE,C5,DUONG,,,No,WHEN 'C0000003004' THEN 'TW_WH_M'
C0000003009,GC_13 DUONG,GC_13,IM,C5,DUONG,,,No,WHEN 'C0000003009' THEN 'GC_13'
C0000003010,GC_13 LA,GC_13,IM,C5,LA,,,No,WHEN 'C0000003010' THEN 'GC_13'
C0000003011,GC_13 HONG,GC_13,IM,C5,HONG,,,No,WHEN 'C0000003011' THEN 'GC_13'
C0000003012,GC_13 TIM,GC_13,IM,C5,TIM,,,No,WHEN 'C0000003012' THEN 'GC_13'
C0000003013,GC_13_S DUONG,GC_13_S,TE,C5,DUONG,,,No,WHEN 'C0000003013' THEN 'GC_13_S'
C0000003014,GC_13_S LA,GC_13_S,TE,C5,LA,,,No,WHEN 'C0000003014' THEN 'GC_13_S'
C0000003015,GC_13_S HONG,GC_13_S,TE,C5,HONG,,,No,WHEN 'C0000003015' THEN 'GC_13_S'
C0000003016,GC_13_S TIM,GC_13_S,TE,C5,TIM,,,No,WHEN 'C0000003016' THEN 'GC_13_S'
C0000003051,TWGC_13 TIM,TWGC_13,IM,C5,TIM,,,No,WHEN 'C0000003051' THEN 'TWGC_13'
C0000003052,TWGC_13 LA,TWGC_13,IM,C5,LA,,,No,WHEN 'C0000003052' THEN 'TWGC_13'
C0000003053,TWGC_13 HONG,TWGC_13,IM,C5,HONG,,,No,WHEN 'C0000003053' THEN 'TWGC_13'
C0000003054,TWGC_13 VANG,TWGC_13,IM,C5,VANG,,,No,WHEN 'C0000003054' THEN 'TWGC_13'
C0000003055,TW_GC_13 TIM,TW_GC_13,IM,C5,TIM,,,No,WHEN 'C0000003055' THEN 'TW_GC_13'
C0000003056,TW_GC_13 LA,TW_GC_13,IM,C5,LA,,,No,WHEN 'C0000003056' THEN 'TW_GC_13'
C0000003057,TW_GC_13 HONG,TW_GC_13,IM,C5,HONG,,,No,WHEN 'C0000003057' THEN 'TW_GC_13'
C0000003058,TW_GC_13 VANG,TW_GC_13,IM,C5,VANG,,,No,WHEN 'C0000003058' THEN 'TW_GC_13'
C0000003327,AFH_13 DUONG,AFH_13,IM,C5,DUONG,,HDL_AFH_Size,No,WHEN 'C0000003327' THEN 'AFH_13'
C0000003328,AFH_13 DO,AFH_13,IM,C5,DO,,HDL_AFH_Size,No,WHEN 'C0000003328' THEN 'AFH_13'
C0000003329,AFH_13 TRANG,AFH_13,IM,C5,TRANG,,HDL_AFH_Size,No,WHEN 'C0000003329' THEN 'AFH_13'
